127.0.0.1 - - [01/Nov/2013:23:05:29 +0200] "GET / HTTP/1.1" 200 10973
127.0.0.1 - - [01/Nov/2013:23:05:29 +0200] "GET /img/style.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:05:29 +0200] "GET /js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:05:29 +0200] "GET /js/jquery.localscroll.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:05:29 +0200] "GET /js/jquery.scrollTo.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:05:30 +0200] "GET /img/bg2.gif HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:05:30 +0200] "GET /img/bg1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:05:30 +0200] "GET /img/bg3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:05:30 +0200] "GET /img/images/bg/4.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:23:05:30 +0200] "GET /img/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:23:05:30 +0200] "GET /img/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:23:05:30 +0200] "GET /img/images/bg-product.png HTTP/1.1" 404 223
127.0.0.1 - - [01/Nov/2013:23:05:30 +0200] "GET /img/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:23:08:47 +0200] "GET / HTTP/1.1" 200 10947
127.0.0.1 - - [01/Nov/2013:23:08:47 +0200] "GET /css/style.css HTTP/1.1" 200 6184
127.0.0.1 - - [01/Nov/2013:23:08:47 +0200] "GET /js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:08:47 +0200] "GET /js/jquery.scrollTo.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:08:47 +0200] "GET /js/jquery.localscroll.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:08:48 +0200] "GET /img/bg1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:08:48 +0200] "GET /img/bg2.gif HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:08:48 +0200] "GET /img/bg3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:08:48 +0200] "GET /css/images/bg/4.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:23:08:48 +0200] "GET /css/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:23:08:48 +0200] "GET /css/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:23:08:48 +0200] "GET /css/images/bg-product.png HTTP/1.1" 404 223
127.0.0.1 - - [01/Nov/2013:23:08:48 +0200] "GET /css/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:23:09:24 +0200] "GET / HTTP/1.1" 200 10938
127.0.0.1 - - [01/Nov/2013:23:09:24 +0200] "GET /css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:09:24 +0200] "GET /js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:23:09:24 +0200] "GET /js/jquery.localscroll.js HTTP/1.1" 304 -
